country,code,GDP_per_capita,inflation
Aruba,ABW,27200.06108,
Africa Eastern and Southern,AFE,1522.590088,7.240977656
Afghanistan,AFG,356.4962141,5.133203408
Africa Western and Central,AFW,1747.840549,3.74570045
Angola,AGO,1925.874661,25.75429488
Albania,ALB,6413.283286,2.041471631
Andorra,AND,42425.69968,
Arab World,ARB,6445.807261,2.965810083
United Arab Emirates,ARE,43360.0211,0.179935336
Argentina,ARG,10738.01792,
Armenia,ARM,4685.179971,7.184836294
American Samoa,ASM,15236.16049,
Antigua and Barbuda,ATG,17340.37907,2.062996385
Australia,AUS,60607.77886,2.863910422
Austria,AUT,53648.71907,2.766666667
Azerbaijan,AZE,5408.045352,6.650299127
Burundi,BDI,214.0914554,8.404538451
Belgium,BEL,51655.78833,2.440248511
Benin,BEN,1318.834978,1.733539627
Burkina Faso,BFA,895.5352884,3.653532872
Bangladesh,BGD,2482.849178,5.545654308
Bulgaria,BGR,12274.0776,3.297744353
Bahrain,BHR,27147.80839,-0.606319385
"Bahamas, The",BHS,28682.327,2.904912629
Bosnia and Herzegovina,BIH,7295.343824,1.981639006
Belarus,BLR,7489.718947,9.460283896
Belize,BLZ,6122.611586,3.235636592
Bermuda,BMU,112712.0251,
Bolivia,BOL,3384.844865,0.737383721
Brazil,BRA,7972.53665,8.301659756
Barbados,BRB,18696.7859,
Brunei Darussalam,BRN,31006.96362,1.733413885
Bhutan,BTN,3570.612579,7.346814405
Botswana,BWA,7808.20624,7.240977656
Central African Republic,CAF,492.2631428,4.259364175
Canada,CAN,52496.84417,3.395193185
Central Europe and the Baltics,CEB,19144.06855,3.839844915
Switzerland,CHE,93446.43445,0.581814168
Channel Islands,CHI,66912.17501,
Chile,CHL,16216.57065,4.524568383
China,CHN,12617.5051,0.981015136
Cote d'Ivoire,CIV,2455.981276,4.091951897
Cameroon,CMR,1672.326573,2.271857625
"Congo, Dem. Rep.",COD,558.0340773,
"Congo, Rep.",COG,2516.162551,1.715642755
Colombia,COL,6222.621644,3.495057574
Comoros,COM,1584.124502,
Cabo Verde,CPV,3971.444074,1.862152975
Costa Rica,CRI,12838.11854,1.726477551
Caribbean small states,CSS,11920.34276,2.236849754
Cuba,CUB,,
Curacao,CUW,17980.08884,
Cayman Islands,CYM,86438.44526,
Cyprus,CYP,33734.29297,2.446088672
Czechia,CZE,27696.46195,3.839844915
Germany,DEU,52265.65416,3.066666667
Djibouti,DJI,3019.693439,1.181917753
Dominica,DMA,8262.650913,1.48319445
Denmark,DNK,69727.98737,1.85304544
Dominican Republic,DOM,8472.47982,8.24300348
Algeria,DZA,4160.559267,7.226063074
East Asia & Pacific (excluding high income),EAP,9795.319389,2.698918595
Early-demographic dividend,EAR,3732.868491,4.038430127
East Asia & Pacific,EAS,13117.39899,2.477102415
Europe & Central Asia (excluding high income),ECA,6623.50479,6.917567711
Europe & Central Asia,ECS,27591.24375,3.19017771
Ecuador,ECU,6075.802657,0.133251386
"Egypt, Arab Rep.",EGY,3827.354154,5.214049405
Euro area,EMU,42978.88179,2.486504381
Eritrea,ERI,,
Spain,ESP,30817.68286,3.09313512
Estonia,EST,27953.76702,4.653166738
Ethiopia,ETH,910.9478403,26.83952216
European Union,EUU,39180.37584,2.554506996
Fragile and conflict affected situations,FCS,1753.547754,4.259364175
Finland,FIN,53099.13514,2.194574323
Fiji,FJI,4696.171019,0.155855722
France,FRA,43725.09995,1.64233141
Faroe Islands,FRO,68736.50561,
"Micronesia, Fed. Sts.",FSM,3493.872286,3.191284066
Gabon,GAB,8181.409141,1.086907465
United Kingdom,GBR,46896.86624,2.518371096
Georgia,GEO,5083.606955,9.566914338
Ghana,GHA,2445.500818,9.971088675
Gibraltar,GIB,,
Guinea,GIN,1244.965505,12.59728826
"Gambia, The",GMB,781.8909252,7.370347589
Guinea-Bissau,GNB,900.4077808,2.242488796
Equatorial Guinea,GNQ,6945.630698,-0.097100766
Greece,GRC,20654.7002,1.22382501
Grenada,GRD,9622.240505,1.219511939
Greenland,GRL,57116.29577,
Guatemala,GTM,4913.947129,4.261051274
Guam,GUM,38074.87937,
Guyana,GUY,9860.872334,5.032855746
High income,HIC,45229.27533,2.522645593
"Hong Kong SAR, China",HKG,49770.56424,1.568758344
Honduras,HND,2735.147515,4.480879634
Heavily indebted poor countries (HIPC),HPC,1040.034107,4.480879634
Croatia,HRV,17789.93047,2.554506996
Haiti,HTI,1835.443941,16.84152402
Hungary,HUN,18755.10235,5.110965344
IBRD only,IBD,7289.992048,4.266357545
IDA & IBRD total,IBT,5707.610643,4.259364175
IDA total,IDA,1460.266755,4.186215065
IDA blend,IDB,1827.963106,3.235636592
Indonesia,IDN,4287.17314,1.560129905
IDA only,IDX,1276.232716,4.370121905
Isle of Man,IMN,94299.96935,
India,IND,2239.613844,5.131407472
Not classified,INX,,
Ireland,IRL,105561.1375,2.340341134
"Iran, Islamic Rep.",IRN,4334.792686,43.38901627
Iraq,IRQ,4868.494311,6.041864891
Iceland,ISL,69325.90783,4.444239702
Israel,ISR,52255.61591,1.510200477
Italy,ITA,36852.54254,1.873783258
Jamaica,JAM,5165.33781,5.862782428
Jordan,JOR,4183.499983,1.346093772
Japan,JPN,40058.53733,-0.233352779
Kazakhstan,KAZ,9983.601036,8.04147134
Kenya,KEN,2061.356221,6.107936037
Kyrgyz Republic,KGZ,1349.997307,11.90503982
Cambodia,KHM,2167.403242,2.920734776
Kiribati,KIR,2253.825001,2.053616768
St. Kitts and Nevis,KNA,18361.14497,1.19568887
"Korea, Rep.",KOR,35125.5225,2.498333333
Kuwait,KWT,34043.54215,3.423629476
Latin America & Caribbean (excluding high income),LAC,7996.407761,4.261051274
Lao PDR,LAO,2526.05105,3.755620367
Lebanon,LBN,4045.373911,154.756096
Liberia,LBR,667.9661051,7.815593859
Libya,LBY,4935.827873,2.868330278
St. Lucia,LCA,10459.13212,2.410703122
Latin America & Caribbean,LCN,8596.355885,3.495057574
Least developed countries: UN classification,LDC,1153.750929,4.186215065
Low income,LIC,680.0527236,5.472727298
Liechtenstein,LIE,196783.7294,
Sri Lanka,LKA,3999.337647,7.014780712
Lower middle income,LMC,2300.761243,4.149680034
Low & middle income,LMY,5345.679193,4.22278962
Lesotho,LSO,1066.586451,6.04774592
Late-demographic dividend,LTE,11597.48556,3.495057574
Lithuania,LTU,23934.72849,4.683544209
Luxembourg,LUX,133711.7944,2.526920091
Latvia,LVA,20262.84339,3.275829374
"Macao SAR, China",MAC,45376.31459,0.026454365
St. Martin (French part),MAF,21668.37765,
Morocco,MAR,3785.936279,1.40195884
Monaco,MCO,223823.364,
Moldova,MDA,5274.605822,5.10641129
Madagascar,MDG,490.2062386,5.812251188
Maldives,MDV,10176.14388,0.543149689
Middle East & North Africa,MEA,7801.403934,2.304465657
Mexico,MEX,10314.05067,5.689208477
Marshall Islands,MHL,6258.611937,
Middle income,MIC,5906.22675,4.088527375
North Macedonia,MKD,7620.80297,3.230749121
Mali,MLI,862.4674001,3.925602831
Malta,MLT,38027.38017,1.497892179
Myanmar,MMR,1242.721344,
Middle East & North Africa (excluding high income),MNA,3653.70377,5.214049405
Montenegro,MNE,9465.96153,2.410801984
Mongolia,MNG,4517.61578,7.352812434
Northern Mariana Islands,MNP,19455.50139,
Mozambique,MOZ,509.9078295,6.40847653
Mauritania,MRT,1947.789184,3.565164847
Mauritius,MUS,9068.973002,4.028528882
Malawi,MWI,617.4475208,9.330144108
Malaysia,MYS,10903.11164,2.477102415
North America,NAC,69382.17285,4.046526024
Namibia,NAM,4412.835569,3.616905301
New Caledonia,NCL,35311.55436,
Niger,NER,608.7224396,3.837868028
Nigeria,NGA,2017.274865,16.95284572
Nicaragua,NIC,2128.609806,4.928413969
Netherlands,NLD,60141.98809,2.675720088
Norway,NOR,93072.89251,3.483880553
Nepal,NPL,1252.750767,4.149680034
Nauru,NRU,14989.66475,
New Zealand,NZL,49624.18167,3.941120608
OECD members,OED,43133.78607,2.815288544
Oman,OMN,19403.46002,1.682211859
Other small states,OSS,15120.10408,2.428445328
Pakistan,PAK,1455.319224,9.496210561
Panama,PAN,15509.80691,1.630703373
Peru,PER,6826.972007,4.271663815
Philippines,PHL,3484.385939,3.927180221
Palau,PLW,13257.20667,2.612481858
Papua New Guinea,PNG,2607.578619,4.48359014
Poland,POL,18635.51049,5.055027047
Pre-demographic dividend,PRE,1404.303658,4.259364175
Puerto Rico,PRI,32619.25042,
"Korea, Dem. People's Rep.",PRK,,
Portugal,PRT,24711.45101,1.265657191
Paraguay,PRY,5976.931798,4.787983101
West Bank and Gaza,PSE,3678.635657,1.237481028
Pacific island small states,PSS,3638.301407,2.47788272
Post-demographic dividend,PST,49980.40433,2.508352215
French Polynesia,PYF,21982.90389,
Qatar,QAT,71751.88312,2.304465657
Romania,ROU,14986.78549,5.052328761
Russian Federation,RUS,12521.52246,6.69445892
Rwanda,RWA,828.8330328,-0.391346748
South Asia,SAS,2131.302296,5.339428858
Saudi Arabia,SAU,28396.08642,3.063289889
Sudan,SDN,712.1220093,359.0930408
Senegal,SEN,1598.10677,2.180322781
Singapore,SGP,79601.41296,2.30485959
Solomon Islands,SLB,1996.869768,-0.115437894
Sierra Leone,SLE,885.1842707,11.87395888
El Salvador,SLV,4642.607431,3.466925853
San Marino,SMR,54168.98283,1.615514116
Somalia,SOM,549.1147435,
Serbia,SRB,9680.527981,4.085102853
Sub-Saharan Africa (excluding high income),SSA,1612.770038,4.439054812
South Sudan,SSD,,10.51671583
Sub-Saharan Africa,SSF,1613.87686,4.618745449
Small states,SST,13092.49757,2.410752553
Sao Tome and Principe,STP,2362.588272,8.137770384
Suriname,SUR,5029.848385,59.11966263
Slovak Republic,SVK,22138.19498,3.149606299
Slovenia,SVN,29187.36938,1.917065061
Sweden,SWE,61174.96802,2.163197364
Eswatini,SWZ,3926.486874,
Sint Maarten (Dutch part),SXM,32548.43669,
Seychelles,SYC,14982.91115,9.76909937
Syrian Arab Republic,SYR,663.6142457,
Turks and Caicos Islands,TCA,23114.79021,
Chad,TCD,660.7471926,-0.77284437
East Asia & Pacific (IDA & IBRD countries),TEA,9905.154404,2.612481858
Europe & Central Asia (IDA & IBRD countries),TEC,10010.77441,5.10641129
Togo,TGO,939.6133738,4.186215065
Thailand,THA,7058.0695,1.230395413
Tajikistan,TJK,896.7480534,
Turkmenistan,TKM,7051.202111,
Latin America & the Caribbean (IDA & IBRD countries),TLA,8382.654516,3.878054424
Timor-Leste,TLS,2684.827044,3.697920947
Middle East & North Africa (IDA & IBRD countries),TMN,3653.411588,5.460199807
Tonga,TON,4912.579506,5.640511406
South Asia (IDA & IBRD),TSA,2131.302296,5.339428858
Sub-Saharan Africa (IDA & IBRD countries),TSS,1613.87686,4.618745449
Trinidad and Tobago,TTO,17912.51062,2.059227469
Tunisia,TUN,3885.281665,5.706350208
Turkiye,TUR,9743.212778,19.59649269
Tuvalu,TUV,5905.081981,
Tanzania,TZA,1159.856567,3.690919588
Uganda,UGA,882.7917175,2.204572048
Ukraine,UKR,4775.945801,9.363139177
Upper middle income,UMC,9770.290697,4.028528882
Uruguay,URY,17888.21151,7.747914023
United States,USA,71318.30736,4.697858864
Uzbekistan,UZB,2258.519641,10.84923975
St. Vincent and the Grenadines,VCT,8481.305374,1.572729325
"Venezuela, RB",VEN,,
British Virgin Islands,VGB,,
Virgin Islands (U.S.),VIR,42571.07774,
